ID,Iwad,Mapname,pwad,parameter
42,tnt.wad,Eternal Doom,eternal
43,doom2.wad,Maskim Xul,Maskim
44,doom2.wad,The City of The Damned Apocalypse,TheCity,1
45,doom2.wad,Back to Saturn 1,Bts1
46,doom2.wad,Back to Saturn 2,Bts2
47,doom2.wad,Back to Saturn 3,Bts3
48,doom2.wad,Phocas Island 2,Phocas,1
49,doom2.wad,Struggle - Antaresian Legacy,Struggle,1
50,doom2.wad,Scythe 2. Version 2,Scythe2
51,doom2.wad,Hell Ground,Hellground
52,doom2.wad,Putrefier,Putrefier
53,doom2.wad,Resurgence,Resurgence
54,doom2.wad,Counterattack,Dolor
55,doom2.wad,ZDoom Community Map Project II,ZDoom
56,doom2.wad,Sacrament,Sacrament,1
57,doom.wad,Knee-Deep in ZDoom,Knee-Deep
58,doom2.wad,Scythe,Scythe1
59,doom2.wad,Equinox,Equinox,1
60,doom2.wad,The Given,TheGiven
61,doom2.wad,Kama Sutra,KamaSutra
62,doom2.wad,Sunlust,Sunlust
63,doom2.wad,Speed of Doom,Sod
64,doom2.wad,Urban Brawl: Action DooM 2 + Dead of Winter,Action,1
65,doom2.wad,Winter's Fury - 10th Anniversary,Winter
66,doom2.wad,Community Chest 4,Cchest4
67,doom2.wad,Sunder,Sunder
68,doom2.wad,Thunderpeak,Thunderpeak
69,doom2.wad,Community Chest 2,Cchest2
70,doom2.wad,DOOM II: Hellscape,Hellscape -warp 21
71,doom2.wad,Remnant,Remnant,1
72,doom2.wad,Foursite,Foursite
73,doom2.wad,Firetop Mountain,Firetop
74,doom2.wad,Lost Civilization,Lost
75,doom2.wad,MMDCXIV - Journey Into 27 Century,MMDCXIV
76,doom2.wad,The Community Chest Project,Cchest1
77,doom2.wad,Dawn of Reality,Dor
78,Doom2.wad,Scythe X. Episodes 1-2,Scythe-X
79,Doom2.wad,A.L.T,Alt
80,Doom2.wad,Zaero: Episode 1,Zaero
81,doom2.wad,The Inquisitor III,Inquisitor,1
82,doom2.wad,ESP,Esp
83,doom2.wad,The Warlock's Hearth,Warlock

w1,doom2.wad,Wolfenstein 3D,Wolfenstein,1 -config Wolfenstein
w2,doom2.wad,Wolfenstein 3D

H1,heretic.wad,Heretic,heretic
H2,heretic.wad,Call of the Apostate,heretic\call_of_the_Apostate,heretic
H3,heretic.wad,Faithless,heretic\Faithless
H4,heretic.wad,Wayfarer,heretic\Wayfarer,heretic
H5,heretic.wad,Sold Soul,heretic\Soldsoul,heretic\Soldsoul,heretic
H6,heretic.wad,Quest for the Crystal Skulls,heretic\qftcs,heretic
H7,heretic.wad,Dungeons and monsters,heretic\dam,heretic
H8,heretic.wad,HYMN: A Heretic Community Project,heretic\hymn,heretic
H9,heretic.wad,Sitnalta,heretic\sitnalta,heretic
H10,heretic.wad,Treasure Chest,heretic\htchest,heretic
H11,heretic.wad,Blasphemous Experiments,heretic\be,heretic\be,heretic
H12,heretic.wad,Master of Chaos,heretic\moc,heretic

HX1,hexen.wad,Hexen,hexen
HX2,hexen.wad,Hexen Deathkings,hexdd.wad,hexen
HX3,hexen.wad,Shadow of Chronos,hexen\shadow_of_chronos,hexen
HX4,hexen.wad,Cyrgoth's Revenge,hexen\Cyrgoth's_Revenge,hexen
HX5,hexen.wad,Afterlands,hexen\afterlands,hexen
HX6,hexen.wad,4 Weeks of Pain,hexen\4weeks,hexen
HX7,hexen.wad,Penumbra,hexen\penumbra,hexen
HX8,hexen.wad,Tower of Chaos,hexen\toc,hexen
HX9,hexen.wad,A new World,hexen\anworld,hexen
HX10,hexen.wad,Descent Into the Abyss,hexen\dita,hexen
HX11,hexen.wad,Shade of Darkness,hexen\sod,hexen\sod,hexen
HX12,hexen.wad,Scourge of Viscerus,hexen\sov,hexen
HX13,hexen.wad,Realms of Chronos,hexen\roc,hexen
